id,Name,titleProject_id,class,score,login,password
324,Люцарева Яна Аркадьевна,376,11б,2,Люцарева_ЯА,5GaEO7jr
325,Боготынина София Егоровна,63,11б,5,Боготынина_СЕ,swxqAvIK
326,Саюшкин Игорь Алексиевич,211,11х,5,Саюшкин_ИА,ixI7xnyl
327,Потешных Тамара Николаевна,468,11в,3,Потешных_ТН,bJtvfks3
328,Незлина Жанна Василевна,426,8б,5,Незлина_ЖВ,tZsQuKFi
329,Федичева Вероника Кирилловна,37,7х,4,Федичева_ВК,U001YRUD
330,Пустынкин Вадим Антонович,388,10в,5,Пустынкин_ВА,d7ueHUgs
331,Аринакова Ирина Михайловна,150,8в,5,Аринакова_ИМ,UCAgnOj0
332,Обиралкова Мария Егоровна,294,11т,5,Обиралкова_МЕ,pw3m9bEF
333,Аристарова Валентина Максимовна,443,11г,2,Аристарова_ВМ,47Xak7EP
334,Яуров Герасим Юрьевич,38,9а,5,Яуров_ГЮ,qME3hcqd
335,Духонькин Вячеслав Фёдорович,2,9в,4,Духонькин_ВФ,aqeNZQoG
336,Гвасков Евгений Михаилович,402,9в,5,Гвасков_ЕМ,tXESHdjD
337,Жабынина Галина Николаевна,185,7х,5,Жабынина_ГН,kQCCS11U
338,Шерюкова Виолетта Романовна,440,9б,4,Шерюкова_ВР,B8J7IqUe
339,Колокатов Пётр Евгеньевич,484,10в,3,Колокатов_ПЕ,oL9FrB7T
340,Шайдуков Андрей Михаилович,317,9и,4,Шайдуков_АМ,ZTPpfW72
341,Смирнягина Дарья Игоревна,425,10в,4,Смирнягина_ДИ,y5DjlBc8
342,Штырева Ева Олеговна,258,11и,2,Штырева_ЕО,h3IOQd06
343,Ашукин Вячеслав Михаилович,191,10т,4,Ашукин_ВМ,rjpkOGTR
344,Рубченкова Галина Алексеевна,190,9в,3,Рубченкова_ГА,I9n3T2R0
345,Зархин Иван Алексиевич,478,11и,5,Зархин_ИА,7jlyJNpB
346,Адиотов Дмитрий Павлович,156,7б,3,Адиотов_ДП,EJTjuA9Y
347,Тищенкова Раиса Валерьевна,79,7д,3,Тищенкова_РВ,1joq8KgE
348,Лозеев Илья Петрович,205,10д,2,Лозеев_ИП,sqR32Dqw
349,Кобяшов Герасим Михаилович,305,11т,2,Кобяшов_ГМ,wbYw5aZG
350,Ронова Клавдия Валерьевна,107,7и,4,Ронова_КВ,p0NEYH72
351,Стрижнов Алексей Евгеньевич,385,11г,3,Стрижнов_АЕ,SWs2W7zV
352,Волынский Алексей Виталиевич,362,11т,5,Волынский_АВ,cvrJEAPf
353,Машонский Василий Данилович,23,9д,5,Машонский_ВД,qFjBMoxU
354,Буриева Зинаида Аркадьевна,104,11д,4,Буриева_ЗА,ynJfgZNn
355,Борщина Алёна Ивановна,377,11а,5,Борщина_АИ,NuvkMufN
356,Белчков Олег Иванович,275,10а,4,Белчков_ОИ,Vthzv4DQ
357,Остропиков Альберт Данилович,157,8г,2,Остропиков_АД,xP0q35Kf
358,Оргонова Любовь Максимовна,264,7б,4,Оргонова_ЛМ,CM1j6T3g
359,Мальков Юрий Евгеньевич,228,7г,3,Мальков_ЮЕ,F6Y53r2V
360,Свльхова Наталья Вадимовна,160,9т,5,Свльхова_НВ,kjEoEa30
361,Мякушков Герасим Леонидович,102,10т,3,Мякушков_ГЛ,WGKhjyc6
362,Межуев Георгий Юриевич,355,8г,4,Межуев_ГЮ,RZKGcstD
363,Чериншев Александр Сергеевич,439,8а,2,Чериншев_АС,cJYDEicZ
364,Муниров Алексей Андреевич,117,11г,3,Муниров_АА,T4UxNcmE
365,Климухин Руслан Романович,269,10в,3,Климухин_РР,2TBOmncX
366,Дембская Екатерина Никитична,64,11б,4,Дембская_ЕН,cEvSaNNi
367,Тюнеев Яков Фёдорович,417,10т,2,Тюнеев_ЯФ,01zX6jKw
368,Трушитин Антон Данилович,168,9х,3,Трушитин_АД,D6xuGeq9
369,Балакишиев Роман Алексиевич,143,11х,5,Балакишиев_РА,rfgP5GCF
370,Немтюрева Валерия Аркадьевна,12,10г,4,Немтюрева_ВА,pin3bq85
371,Складанова Клавдия Аркадьевна,257,9а,3,Складанова_КА,KWdmZuYO
372,Заходина Полина Леонидовна,93,10д,4,Заходина_ПЛ,UZn2ALMM
373,Муринов Анатолий Борисович,171,11б,5,Муринов_АБ,ymgTHudV
374,Гришалова Любовь Евгеньевна,301,8т,3,Гришалова_ЛЕ,Pcrv30wZ
375,Ситчихин Станислав Георгиевич,247,8т,5,Ситчихин_СГ,7O2PGIGo
376,Просяных Георгий Василиевич,366,9в,2,Просяных_ГВ,qqNC4yfy
377,Дзабиев Григорий Георгиевич,259,11д,5,Дзабиев_ГГ,KOMT05jn
378,Рыбаулин Григорий Алексеевич,140,11а,5,Рыбаулин_ГА,fZFaTsZG
379,Тупиева Екатерина Ивановна,400,7д,2,Тупиева_ЕИ,h5oVfrsN
380,Куверчева Алена Ивановна,170,10д,3,Куверчева_АИ,gHmBOivI
381,Цаблинова Виктория Богдановна,342,9г,4,Цаблинова_ВБ,WKjztFHM
382,Синенков Григорий Леонидович,230,9в,5,Синенков_ГЛ,UvJrN7DQ
383,Лизункин Артур Олегович,4,11в,5,Лизункин_АО,jI0JhDmH
384,Славущева Александра Эдуардовна,81,8а,5,Славущева_АЭ,Llk6UOUC
385,Шахвердов Дмитрий Антонович,132,11б,2,Шахвердов_ДА,XFN0HJf5
386,Рапацкая Ольга Ивановна,223,10г,3,Рапацкая_ОИ,0DHCy2l6
387,Сторокожев Виталий Аркадиевич,159,9б,2,Сторокожев_ВА,xTGz1GON
388,Половодов Кирилл Николаевич,18,8т,5,Половодов_КН,HQMhdsRt
389,Халтанова Алена Дмитриевна,49,8б,3,Халтанова_АД,5FD8JT2G
390,Заложнев Роман Фёдорович,448,8в,4,Заложнев_РФ,AVVCBgoS
391,Рыжих Кристина Аркадьевна,213,7а,4,Рыжих_КА,UwVauTCh
392,Буров Руслан Игоревич,405,11и,5,Буров_РИ,FptJIHpP
393,Гачков Виталий Евгеньевич,277,9т,4,Гачков_ВЕ,CaHJuvbP
394,Кадилов Геннадий Борисович,225,10в,3,Кадилов_ГБ,B5xIUce1
395,Гликина Алёна Эдуардовна,454,9б,3,Гликина_АЭ,LuCx8XtG
396,Ичкинина Любовь Андреевна,299,8г,5,Ичкинина_ЛА,a5nbUD4n
397,Мозшорина Кира Дмитриевна,65,8б,3,Мозшорина_КД,opo40jkM
398,Брижеватов Константин Борисович,152,11т,2,Брижеватов_КБ,XQLC2kLW
399,Бучеров Тарас Викторович,429,10д,4,Бучеров_ТВ,VRKGczss
400,Мисютина Валерия Эдуардовна,368,9г,2,Мисютина_ВЭ,xLqiPGie
401,Льянов Федор Вадимович,328,8а,4,Льянов_ФВ,wrr4GO75
402,Щуркин Георгий Яковлевич,180,8в,4,Щуркин_ГЯ,EKplWOhv
403,Акулин Федор Адамович,241,10г,4,Акулин_ФА,yiqCywXT
404,Волженкова Екатерина Ивановна,233,9д,4,Волженкова_ЕИ,dk5OBMGX
405,Махометова София Викторовна,424,8и,3,Махометова_СВ,cn2PCVEM
406,Зызлов Геннадий Антонович,274,7в,3,Зызлов_ГА,ptQVg7ns
407,Девляшова Кира Олеговна,51,11д,5,Девляшова_КО,g2GZ1qsg
408,Яковкина Алена Никитична,320,9т,5,Яковкина_АН,sMDydgkx
409,Бузулев Вадим Николаевич,331,10д,3,Бузулев_ВН,GuPoIbUu
410,Ганельский Юрий Юриевич,474,9д,3,Ганельский_ЮЮ,lrZkEvet
411,Шкапрова Ева Ивановна,371,7б,5,Шкапрова_ЕИ,rbQ1X2jA
412,Чичирин Владимир Георгиевич,11,10а,4,Чичирин_ВГ,2XChmbls
413,Шилова Надежда Викторовна,124,9б,2,Шилова_НВ,bjJzBwc6
414,Коваев Руслан Михаилович,487,9т,3,Коваев_РМ,4tK8XtcT
415,Саверина Надежда Андреевна,407,11б,4,Саверина_НА,DhTz2Sfx
416,Тишанкин Олег Адамович,334,9д,3,Тишанкин_ОА,K4agIicL
417,Широпаев Валерий Сергеевич,406,9б,2,Широпаев_ВС,VlaR8Msr
418,Щепанин Олег Адамович,226,7а,3,Щепанин_ОА,m3h0bCXp
419,Оплетин Владислав Аркадиевич,361,10х,4,Оплетин_ВА,fULbCGuN
420,Оденова Карина Андреевна,409,8и,4,Оденова_КА,TAezF6Bv
421,Семагин Альберт Андреевич,456,10х,4,Семагин_АА,Z8UppxXC
422,Черданцева Анастасия Олеговна,128,8х,3,Черданцева_АО,nHLIw2uv
423,Лонцова Елизавета Эдуардовна,224,7х,3,Лонцова_ЕЭ,aRCvWQ7f
424,Сарсекеева Алёна Никитична,462,11и,4,Сарсекеева_АН,MsIKGE6L
425,Аковецкий Антон Евгеньевич,500,8б,4,Аковецкий_АЕ,IXbEOiwE
426,Аратский Станислав Борисович,351,9и,2,Аратский_СБ,I3TwWA8Q
427,Чужриков Пётр Денисович,200,9в,3,Чужриков_ПД,TXWQ8trZ
428,Никитшин Алексей Кириллович,111,11и,3,Никитшин_АК,lwbNxtbs
429,Симендяев Василий Алексиевич,45,8д,4,Симендяев_ВА,c0kB6PLi
430,Ошитков Максим Сергеевич,151,10г,4,Ошитков_МС,goVXo3MR
431,Юрасов Евгений Романович,338,9и,3,Юрасов_ЕР,LLRufaq7
432,Головяшин Павел Юриевич,179,7г,5,Головяшин_ПЮ,i0YPu1tC
433,Манжурина Екатерина Сергеевна,219,7т,3,Манжурина_ЕС,UKWG8XAi
434,Никурашин Олег Евгеньевич,291,11х,2,Никурашин_ОЕ,DeJTg1sV
435,Бехтерев Федор Вадимович,137,9х,3,Бехтерев_ФВ,NGksbD1c
436,Годлевская Катерина Дмитриевна,403,11г,3,Годлевская_КД,uJM1BwKi
437,Акиярова Алина Эдуардовна,9,11а,4,Акиярова_АЭ,Pckq4xX6
438,Милина Алена Петровна,359,8г,3,Милина_АП,7EuiN8Yx
439,Воловин Борис Викторович,350,7т,2,Воловин_БВ,OzjSXXww
440,Туморина Ксения Федоровна,133,8б,5,Туморина_КФ,nWVafvJy
441,Желейков Вячеслав Яковлевич,199,8г,3,Желейков_ВЯ,dgSwfzeC
442,Шишорнина Екатерина Алексеевна,183,8т,3,Шишорнина_ЕА,uhjtEuMn
443,Юумогулова Виолетта Игоревна,311,10х,3,Юумогулова_ВИ,IzwX0M9F
444,Рецков Денис Денисович,85,10д,2,Рецков_ДД,aMmg7U3R
445,Химунина Елизавета Ивановна,392,7д,2,Химунина_ЕИ,VoFjhFKX
446,Кобрянов Александр Алексиевич,455,7т,2,Кобрянов_АА,2LzGMzRs
447,Бирылов Тарас Данилович,243,11а,3,Бирылов_ТД,aeOa75k7
448,Туфатулин Ярослав Леонидович,485,8х,4,Туфатулин_ЯЛ,XnyywKmQ
449,Долбишев Николай Аркадиевич,292,10б,5,Долбишев_НА,IgnIAL0M
450,Махтумова Алёна Эдуардовна,186,10б,4,Махтумова_АЭ,yg7A6MIZ
451,Нарзаркин Алексей Романович,423,10т,2,Нарзаркин_АР,GrHyaXfU
452,Куранина Алена Леонидовна,196,9б,4,Куранина_АЛ,UXYgtAN5
453,Ситюков Аркадий Евгеньевич,32,10в,3,Ситюков_АЕ,MMUoVbsO
454,Мизюрова Алиса Никитична,176,7г,4,Мизюрова_АН,IGWwvcDy
455,Пандурова Алиса Дмитриевна,130,9б,2,Пандурова_АД,pgFbQKNA
456,Жилейкин Борис Тимофеевич,91,7в,2,Жилейкин_БТ,iz4qCGlF
457,Корпункова Виолетта Сергеевна,83,11а,3,Корпункова_ВС,ux9alj7c
458,Пашохонова Анастасия Федоровна,467,9в,4,Пашохонова_АФ,4KDi75oQ
459,Сузальцева Тамара Михайловна,357,8х,4,Сузальцева_ТМ,PQOEGPtt
460,Чиличкина Светлана Яковлевна,5,8в,5,Чиличкина_СЯ,QzVhA0j9
461,Шантыкова Карина Максимовна,198,10д,3,Шантыкова_КМ,KbaEiztr
462,Недосекин Владислав Яковлевич,457,10а,4,Недосекин_ВЯ,axh5VYjI
463,Максимкин Федор Фёдорович,172,10г,2,Максимкин_ФФ,xv1qakSW
464,Матбиюшина Виктория Игоревна,237,8д,2,Матбиюшина_ВИ,Zx8bWfBP
465,Шишкунов Герасим Юрьевич,110,8т,4,Шишкунов_ГЮ,EFtvBeES
466,Сухинин Георгий Алексиевич,475,10х,4,Сухинин_ГА,ewMZcQTo
467,Бисеева Полина Романовна,48,7д,5,Бисеева_ПР,fPbPUalO
468,Жукулов Михаил Денисович,60,11г,3,Жукулов_МД,ezNMukpV
469,Тоняев Герасим Петрович,378,9т,5,Тоняев_ГП,I1ooFRzN
470,Шушенкова Алёна Олеговна,36,7и,2,Шушенкова_АО,gXzsbTKY
471,Разроев Дмитрий Павлович,59,9а,2,Разроев_ДП,fTrD6weB
472,Баззаев Анатолий Данилович,339,9д,2,Баззаев_АД,n1Ck7Aff
473,Цекова Алла Олеговна,50,8д,2,Цекова_АО,9DUK0O1a
474,Аборонова Алиса Алексеевна,444,7г,5,Аборонова_АА,wuMbsS1T
475,Ягловская Ева Олеговна,181,8в,4,Ягловская_ЕО,D0RMvNjm
476,Шароварова Яна Романовна,175,8а,4,Шароварова_ЯР,DNACFdRg
477,Общев Яков Викторович,466,8а,4,Общев_ЯВ,P0t9RfPd
478,Ойзерская Катерина Эдуардовна,120,7х,2,Ойзерская_КЭ,BxuRdHAh
479,Прусский Ярослав Иванович,479,11б,2,Прусский_ЯИ,gye52YAK
480,Лабинов Павел Алексеевич,272,7б,5,Лабинов_ПА,6Q0VfnC6
481,Покровов Эдуард Павлович,312,8б,2,Покровов_ЭП,qwTsbubR
482,Мачехин Эдуард Данилович,19,7д,3,Мачехин_ЭД,SVUBLwDy
483,Кодорская Раиса Ивановна,27,11б,3,Кодорская_РИ,NzAjlpS9
484,Кондраева Марина Ивановна,469,9д,3,Кондраева_МИ,sueoE4HZ
485,Бульенков Валентин Иванович,136,10т,4,Бульенков_ВИ,rmTJ3Cbx
486,Тагакова Вероника Яковлевна,393,8т,4,Тагакова_ВЯ,Ni8RMvXM
487,Гершанова Любовь Евгеньевна,383,11т,5,Гершанова_ЛЕ,GNcJ8YfJ
488,Салина Алена Егоровна,73,11в,5,Салина_АЕ,3iwfQt22
489,Фрумова Зинаида Аркадьевна,78,8а,4,Фрумова_ЗА,XGJTNvyE
490,Хорняков Борис Борисович,13,8г,2,Хорняков_ББ,f1LJARz5
491,Гдагазина Лиза Василевна,212,9т,5,Гдагазина_ЛВ,v4kxIYaN
492,Агаршев Ярослав Михаилович,276,9т,2,Агаршев_ЯМ,NV8iD6db
493,Корюшин Пётр Антонович,326,8х,2,Корюшин_ПА,MW3CnvDy
494,Калаев Пётр Алексиевич,68,8а,3,Калаев_ПА,xqaQW1fu
495,Ккаталкина Виолетта Егоровна,53,7б,2,Ккаталкина_ВЕ,LwIIphO4
496,Рачнов Герасим Алексеевич,103,10а,5,Рачнов_ГА,BKhRwdKI
497,Миндубаева Людмила Леонидовна,477,11и,2,Миндубаева_ЛЛ,nSkVRiaF
498,Агафьева Вера Ивановна,352,11х,3,Агафьева_ВИ,ABW2wL0u
499,Житин Эдуард Адамович,481,9а,5,Житин_ЭА,2WEmIIhG
